"","AdmArea","Month","Year","TotalAmount"
"2","Центральный административный округ","Апрель","2016",1033089057
"14","Центральный административный округ","Май","2016",1046211200
"26","Центральный административный округ","Июнь","2016",1035468984
"38","Центральный административный округ","Июль","2016",1
"50","Центральный административный округ","Август","2016",1029563915
"62","Центральный административный округ","Сентябрь","2016",1042438615
"74","Центральный административный округ","Октябрь","2016",1065523860
"86","Центральный административный округ","Ноябрь","2016",1072033883
"98","Центральный административный округ","Декабрь","2016",1083268627
"110","Центральный административный округ","Январь","2017",1103915545.5
"122","Центральный административный округ","Февраль","2017",1129023935.08
"134","Центральный административный округ","Март","2017",1111853811.94
"146","Центральный административный округ","Апрель","2017",1115320815.67
"158","Центральный административный округ","Май","2017",56222516.13
"170","Центральный административный округ","Июнь","2017",1131309445.43
"182","Центральный административный округ","Июль","2017",1197215543.72
"194","Центральный административный округ","Июль","2018",1231668213.78
"206","Центральный административный округ","Июнь","2018",1230541429.98
"218","Центральный административный округ","Май","2018",1247099349.01
"230","Центральный административный округ","Март","2018",1238932233.52
"242","Центральный административный округ","Февраль","2018",1247523024.93
"254","Центральный административный округ","Январь","2018",1255932407.09
"266","Центральный административный округ","Февраль","2019",1318968869
"278","Центральный административный округ","Сентябрь","2017",1212037226.66
"290","Центральный административный округ","Ноябрь","2018",1249987014.8
"302","Центральный административный округ","Октябрь","2018",1236657418.57
"314","Центральный административный округ","Сентябрь","2018",1221825452.9
"326","Центральный административный округ","Декабрь","2018",1250072335
"338","Центральный административный округ","Ноябрь","2017",1248661932
"350","Центральный административный округ","Октябрь","2017",1233226017
"362","Центральный административный округ","Август","2017",1205424733
"374","Центральный административный округ","Апрель","2018",1242811612
"386","Центральный административный округ","Декабрь","2017",1258380754
"398","Центральный административный округ","Август","2018",1237711634
"409","Центральный административный округ","Январь","2019",1282372753
"421","Центральный административный округ","Апрель","2019",1376249632.96
"433","Центральный административный округ","Март","2019",1300946634
"446","Центральный административный округ","Май","2019",1320926822
"458","Центральный административный округ","Июль","2019",1294459975
"470","Центральный административный округ","Июнь","2019",1310177657
"482","Центральный административный округ","Август","2019",1289896855
"494","Центральный административный округ","Сентябрь","2019",130597783
"506","Центральный административный округ","Октябрь","2019",1322195308
"518","Центральный административный округ","Ноябрь","2019",1338087340
"530","Центральный административный округ","Декабрь","2019",1346013423.63
"542","Центральный административный округ","Январь","2020",1387503641.27
"554","Центральный административный округ","Февраль","2020",1342359782.32
"566","Центральный административный округ","Март","2020",1354303732.14
"578","Центральный административный округ","Апрель","2020",1128903692.78
"590","Центральный административный округ","Май","2020",1128787326.7
"602","Центральный административный округ","Июнь","2020",1112187632.66
"614","Центральный административный округ","Июль","2020",1361095963.83
"626","Центральный административный округ","Август","2020",1348579151
"637","Центральный административный округ","Сентябрь","2020",1339981091.29
"649","Центральный административный округ","Октябрь","2020",1351154922.05
"661","Центральный административный округ","Ноябрь","2020",1360154861.83
"673","Центральный административный округ","Декабрь","2020",1390256402.39
"685","Центральный административный округ","Январь","2021",1390256402.39
"697","Центральный административный округ","Февраль","2021",1369971528.59
"709","Центральный административный округ","Март","2021",1385675904.84
"721","Центральный административный округ","Апрель","2021",1384333329.46
"733","Центральный административный округ","Май","2021",1399711506.75
"745","Центральный административный округ","Июнь","2021",1388763616.68
"757","Центральный административный округ","Июль","2021",1392154989.93
"769","Центральный административный округ","Август","2021",1381415073.39
"781","Центральный административный округ","Сентябрь","2021",1374895973.6
"793","Центральный административный округ","Октябрь","2021",1395232174.22
"805","Центральный административный округ","Ноябрь","2021",1426668016.12
"817","Центральный административный округ","Декабрь","2021",1432572227.85
