"","Year","Month"
"1","2016","Апрель"
"2","2016","Май"
"3","2016","Июнь"
"4","2016","Август"
"5","2016","Сентябрь"
"6","2016","Октябрь"
"7","2016","Ноябрь"
"8","2016","Декабрь"
"9","2017","Январь"
"10","2017","Февраль"
"11","2017","Март"
"12","2017","Апрель"
"13","2017","Июнь"
"14","2017","Июль"
"15","2017","Сентябрь"
"16","2017","Ноябрь"
"17","2017","Октябрь"
"18","2017","Август"
"19","2017","Декабрь"
"20","2018","Май"
"21","2018","Февраль"
"22","2018","Январь"
"23","2018","Ноябрь"
"24","2018","Декабрь"
"25","2018","Апрель"
"26","2019","Февраль"
"27","2019","Январь"
"28","2019","Апрель"
"29","2019","Март"
"30","2019","Май"
"31","2019","Июль"
"32","2019","Июнь"
"33","2019","Август"
"34","2019","Октябрь"
"35","2019","Ноябрь"
"36","2019","Декабрь"
"37","2020","Январь"
"38","2020","Февраль"
"39","2020","Март"
"40","2020","Июль"
"41","2020","Август"
"42","2020","Сентябрь"
"43","2020","Октябрь"
"44","2020","Ноябрь"
"45","2020","Декабрь"
"46","2021","Май"
"47","2021","Октябрь"
"48","2021","Ноябрь"
"49","2021","Декабрь"
